pair_id,tier,split,group_id,clean_id,corrupt_id,reliability,winner,agreement_c1,agreement_c2,clean_schedule,corrupt_schedule,strict_boundary_pair,same_grid,same_questions,same_reports
013b92c00bfe0af91ac4,grid,train,535879badc16596b42d1,580217a66dbbfb1e61fcd15f,21d26639fa261c4da411a689,1/20,C1,1,2,50,33,True,True,False,False
01b2e3a821070a2dfe5a,grid,train,0384d8764a73c20ceeb2,a34597cc41db4fa733c3b01d,cea2ee940ce836773c2f0119,1/20,C2,2,1,8,14,True,True,False,True
0b0a26a83411f7aa3c1d,grid,train,b127831bbd96a390fe1e,55ee6d882997b3a05fb2c583,36a02bffb580d2239edf5459,1/4,C1,1,2,50,51,True,True,False,False
006327f6c2f6a4e84654,grid,train,54bb3f5f57f26cb27ce6,054faa597240a9e82434a0a9,c7d5fbd843ca9dca14ef9037,1/4,C2,2,1,38,33,True,True,False,False
011110d26cf50fdb06ca,grid,train,053b12007f785b198ca8,f5f70a2508d0f04cfcf7033f,6c679d9bd8e0ee10b62c7658,3/20,C1,1,2,60,15,True,True,False,False
00cf99d4bb0825f4345e,grid,train,2de1fb11e4a5c310cbf6,4b596f897d0d46403f39ac54,964b08f3a4c0501f564a4917,3/20,C2,2,1,36,60,True,True,False,False
013341a18000cae15a4e,grid,train,fa7d51c76147fd75ac2e,9561f027eac5fe27843c73c4,db178cba11b27405a2d53f25,7/20,C1,1,2,16,13,True,True,False,False
00ae5a25c2c8c17d7a71,grid,train,7554af0addb53476cbf6,405376ac87e70739699a60b5,a88caa2af20dd84fcb1ac41b,7/20,C2,2,0,56,62,True,True,False,False
0063d26078f725bdf3df,grid,train,d9dd723c23a03115ed5a,902ba421b29046d01372669d,740cc64c3d4cbd903386f7f9,9/20,C1,1,2,50,13,True,True,False,False
00310c2ffa3e084c1fea,grid,train,914fd5f0daec106ff700,76f6d5c4569053810379ff8f,f3ca790e7f33b00fa1d83a9d,9/20,C2,2,1,36,42,True,True,False,False
