pair_id,tier,split,group_id,clean_id,corrupt_id,reliability,winner,agreement_c1,agreement_c2,clean_schedule,corrupt_schedule,strict_boundary_pair,same_grid,same_questions,same_reports,cohort,direction,recipient_id,donor_id,site,patch_site,layer,condition,job_id,baseline_margin,patched_margin,baseline_truth_signed_margin,patched_truth_signed_margin,truth_signed_change,margin_change,baseline_correct,patched_correct,baseline_top_token_correct,patched_top_token_correct,repair,damage,full_vocab_repair,full_vocab_damage,choice_changed,buffered_repair,buffered_damage,directional_effect
013b92c00bfe0af91ac4,grid,train,535879badc16596b42d1,580217a66dbbfb1e61fcd15f,21d26639fa261c4da411a689,1/20,C1,1,2,50,33,True,True,False,False,discovery_grid_train,denoising,21d26639fa261c4da411a689,580217a66dbbfb1e61fcd15f,final_prompt,final_prompt,0,cross_patch,114b1a66de27bd97775149f7,-0.125,-0.125,-0.125,-0.125,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.0
013b92c00bfe0af91ac4,grid,train,535879badc16596b42d1,580217a66dbbfb1e61fcd15f,21d26639fa261c4da411a689,1/20,C1,1,2,50,33,True,True,False,False,discovery_grid_train,denoising,21d26639fa261c4da411a689,580217a66dbbfb1e61fcd15f,final_prompt,final_prompt,0,self_patch,e748e184c3e3a93385b32888,-0.125,-0.125,-0.125,-0.125,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.0
013b92c00bfe0af91ac4,grid,train,535879badc16596b42d1,580217a66dbbfb1e61fcd15f,21d26639fa261c4da411a689,1/20,C1,1,2,50,33,True,True,False,False,discovery_grid_train,denoising,21d26639fa261c4da411a689,580217a66dbbfb1e61fcd15f,final_prompt,final_prompt,1,cross_patch,2207187ded0f5e2ef38e68eb,-0.125,-0.125,-0.125,-0.125,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.0
013b92c00bfe0af91ac4,grid,train,535879badc16596b42d1,580217a66dbbfb1e61fcd15f,21d26639fa261c4da411a689,1/20,C1,1,2,50,33,True,True,False,False,discovery_grid_train,denoising,21d26639fa261c4da411a689,580217a66dbbfb1e61fcd15f,final_prompt,final_prompt,1,self_patch,5870d726b8509065d3aebbd2,-0.125,-0.125,-0.125,-0.125,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.0
013b92c00bfe0af91ac4,grid,train,535879badc16596b42d1,580217a66dbbfb1e61fcd15f,21d26639fa261c4da411a689,1/20,C1,1,2,50,33,True,True,False,False,discovery_grid_train,denoising,21d26639fa261c4da411a689,580217a66dbbfb1e61fcd15f,final_prompt,final_prompt,2,cross_patch,942a104652ed63ff785ee8f9,-0.125,-0.125,-0.125,-0.125,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.0
013b92c00bfe0af91ac4,grid,train,535879badc16596b42d1,580217a66dbbfb1e61fcd15f,21d26639fa261c4da411a689,1/20,C1,1,2,50,33,True,True,False,False,discovery_grid_train,denoising,21d26639fa261c4da411a689,580217a66dbbfb1e61fcd15f,final_prompt,final_prompt,2,self_patch,f139e74b485e6b2847678477,-0.125,-0.125,-0.125,-0.125,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.0
013b92c00bfe0af91ac4,grid,train,535879badc16596b42d1,580217a66dbbfb1e61fcd15f,21d26639fa261c4da411a689,1/20,C1,1,2,50,33,True,True,False,False,discovery_grid_train,denoising,21d26639fa261c4da411a689,580217a66dbbfb1e61fcd15f,final_prompt,final_prompt,3,cross_patch,347cbc0efad24cf66d82698f,-0.125,-0.125,-0.125,-0.125,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.0
013b92c00bfe0af91ac4,grid,train,535879badc16596b42d1,580217a66dbbfb1e61fcd15f,21d26639fa261c4da411a689,1/20,C1,1,2,50,33,True,True,False,False,discovery_grid_train,denoising,21d26639fa261c4da411a689,580217a66dbbfb1e61fcd15f,final_prompt,final_prompt,3,self_patch,889bc919c23214cefd84caf2,-0.125,-0.125,-0.125,-0.125,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.0
013b92c00bfe0af91ac4,grid,train,535879badc16596b42d1,580217a66dbbfb1e61fcd15f,21d26639fa261c4da411a689,1/20,C1,1,2,50,33,True,True,False,False,discovery_grid_train,denoising,21d26639fa261c4da411a689,580217a66dbbfb1e61fcd15f,final_prompt,final_prompt,4,cross_patch,d7a1a07c2190e2b5ac51e2d2,-0.125,-0.125,-0.125,-0.125,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.0
013b92c00bfe0af91ac4,grid,train,535879badc16596b42d1,580217a66dbbfb1e61fcd15f,21d26639fa261c4da411a689,1/20,C1,1,2,50,33,True,True,False,False,discovery_grid_train,denoising,21d26639fa261c4da411a689,580217a66dbbfb1e61fcd15f,final_prompt,final_prompt,4,self_patch,9d0b03b4da3ba2f395d6aa91,-0.125,-0.125,-0.125,-0.125,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.0
013b92c00bfe0af91ac4,grid,train,535879badc16596b42d1,580217a66dbbfb1e61fcd15f,21d26639fa261c4da411a689,1/20,C1,1,2,50,33,True,True,False,False,discovery_grid_train,denoising,21d26639fa261c4da411a689,580217a66dbbfb1e61fcd15f,final_prompt,final_prompt,5,cross_patch,78a0a182a708b0ea457f9e5c,-0.125,0.0,-0.125,0.0,0.125,0.125,False,False,False,True,False,False,True,False,True,False,False,0.125
